stock_code,total_number_of_shares,market_value,stock_name,listed_market,wel_delete,enterprise_name,enterprise_id,update_time,gics_code,gics_code4
000550.SZ,843628472.0,20078357640.0,江铃汽车,1,0,江铃汽车股份有限公司,26812,2021-05-13 00:00:00,251020,25102010
000551.SZ,399604118.0,3356674597.95,创元科技,1,0,创元科技股份有限公司,26813,2021-05-13 00:00:00,201050,20105010
000552.SZ,2211876478.0,7409786202.0,靖远煤电,1,0,甘肃靖远煤电股份有限公司,26814,2021-05-13 00:00:00,101020,10102050
000553.SZ,2349342062.0,21097091718.0,安道麦A,1,0,安道麦股份有限公司,26815,2021-05-13 00:00:00,151010,15101030
000554.SZ,479816097.0,2360695201.2,泰山石油,1,0,中国石化山东泰山石油股份有限公司,26816,2021-05-13 00:00:00,101020,10102030
000555.SZ,978282671.0,14527497665.76,神州信息,1,0,神州数码信息服务股份有限公司,26817,2021-05-13 00:00:00,451020,45102010
000557.SZ,1466322281.0,5381402772.15,西部创业,1,0,宁夏西部创业实业股份有限公司,26818,2021-05-13 00:00:00,203040,20304010
000558.SZ,1298208088.0,3725857212.61,莱茵体育,1,0,莱茵达体育发展股份有限公司,26819,2021-05-13 00:00:00,601020,60102030
000559.SZ,3297262112.0,16684146287.199999,万向钱潮,1,0,万向钱潮股份有限公司,26820,2021-05-13 00:00:00,251010,25101010
000560.SZ,2377987732.0,9963768599.73,我爱我家,1,0,我爱我家控股集团股份有限公司,26821,2021-05-13 00:00:00,601020,60102040
000561.SZ,607504843.0,3918406240.08,烽火电子,1,0,陕西烽火电子股份有限公司,26822,2021-05-13 00:00:00,452010,45201020
000563.SZ,3964012846.0,12803761492.58,陕国投A,1,0,陕西省国际信托股份有限公司,28214,2021-05-13 00:00:00,402030,40203010
000564.SZ,5935086345.0,15134470180.72,*ST大集,1,1,供销大集集团股份有限公司,26823,2021-05-13 00:00:00,255030,25503010
000565.SZ,432792234.0,2345733910.2000003,渝三峡A,1,0,重庆三峡油漆股份有限公司,26824,2021-05-13 00:00:00,151010,15101010
